,"Region, subregion, country or area *",0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,weighted_fatality,population
3465,Minnesota,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Mississippi,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Missouri,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Montana,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Nebraska,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Nevada,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,New_Hampshire,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,New_Jersey,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,New_Mexico,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,New_York,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,North_Carolina,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,North_Dakota,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Northern_Mariana_Islands,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Ohio,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Oklahoma,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Oregon,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Pennsylvania,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
3465,Puerto_Rico,1193.951,1127.127,1276.93,1320.299,1264.123,1296.647,1093.868,994.244,532.081,0.008856,10099.27
