"Region, subregion, country or area *",0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
Germany,7880.904,7930.616,9377.361,10872.020,10243.351,13488.393,10644.142,7471.414,5875.744
Ghana,8057.871,6616.721,5398.591,4190.418,3031.250,2134.979,1091.067,456.790,95.258
Greater Arab Free Trade Area (GAFTA),92796.919,74551.269,69417.766,65798.547,48264.953,32033.139,19258.783,8760.761,3096.262
Greece,881.127,1068.855,1057.216,1336.515,1574.409,1505.694,1257.162,956.083,785.995
Grenada,18.131,16.137,18.289,18.210,12.871,12.145,9.576,4.788,2.372
Group of 77 (G77),1145025.987,1056739.852,980940.117,918589.901,749300.919,617369.351,405979.157,190919.021,70415.162
Group of Eight (G8),100942.410,102016.937,110356.334,124047.430,120238.729,123605.798,110758.085,76895.027,49700.261
Group of Seven (G7),82319.803,86760.900,94748.549,99578.875,99863.412,104708.132,92256.716,68345.309,44044.855
Group of Twenty (G20) - member states,651544.619,664522.032,680576.983,710187.559,632018.446,573304.074,415629.816,221160.618,104387.271
Guadeloupe,44.994,58.513,46.878,33.760,49.307,62.202,50.569,32.942,20.962
Guam,26.980,27.161,27.031,21.835,19.936,20.164,14.331,7.781,3.564
Guatemala,4047.467,3871.605,3413.159,2532.064,1701.993,1053.817,718.852,382.507,194.103
Guinea,3965.624,3199.454,2365.739,1470.866,898.439,614.524,408.149,171.250,38.747
Guinea-Bissau,582.349,450.029,342.384,254.506,156.575,92.188,60.416,24.637,4.914
Gulf Cooperation Council (GCC),8897.499,7177.057,10058.569,13821.966,10385.757,5285.776,2127.646,685.891,223.934
Guyana,147.628,145.351,145.306,93.109,90.525,79.337,51.356,22.940,11.007
Haiti,2500.779,2346.529,2044.457,1731.656,1106.487,789.624,523.932,260.215,98.854
High-income countries,138552.860,142310.417,159276.910,173403.354,172829.959,168486.178,143829.871,101191.930,63211.455
Honduras,2005.992,2064.638,1905.418,1470.937,1047.736,680.011,420.078,205.311,104.487
Hungary,908.566,969.207,1151.690,1257.142,1588.213,1201.388,1306.432,846.576,431.136
Iceland,43.070,44.708,47.798,46.871,42.966,42.111,37.536,23.415,12.775
India,234861.634,252201.518,239902.073,215636.276,169660.174,128132.230,87150.811,39175.398,13284.271
Indonesia,47956.446,46303.005,43571.426,41166.622,37846.725,29155.099,17531.211,7574.475,2418.612
Iran (Islamic Republic of),14565.856,11747.928,12342.907,16739.446,11655.616,8295.331,5396.905,2354.607,894.357
Iraq,10610.230,8710.757,7165.590,5403.683,3936.620,2341.152,1292.393,573.718,188.360
Ireland,671.943,668.747,567.337,695.928,763.228,600.933,480.785,330.663,158.232
Israel,1671.096,1405.063,1196.975,1122.245,1040.177,795.496,703.643,459.660,261.186
Italy,4994.995,5733.448,6103.436,6998.434,9022.004,9567.192,7484.862,6028.908,4528.549
Jamaica,464.789,466.600,515.496,443.383,357.430,320.533,214.541,119.521,58.868
Japan,10179.969,11267.171,12147.325,14455.416,18473.075,16541.515,15875.235,16185.375,11351.377
Jordan,2212.563,2179.853,1802.536,1490.608,1141.345,755.591,366.278,190.751,63.615
Kazakhstan,3868.010,2720.923,2573.192,2993.495,2286.421,2039.441,1438.909,552.505,303.811
Kenya,14013.910,12746.879,9594.274,7470.146,4903.045,2805.603,1518.826,574.339,144.278
Kiribati,29.463,23.632,20.524,16.604,11.173,9.988,5.141,2.330,0.591
Kuwait,608.326,533.226,444.882,878.556,965.369,561.299,220.263,48.550,10.092
Kyrgyzstan,1529.450,1100.701,1082.940,1014.705,686.435,581.435,363.824,111.214,53.487
LLDC: Africa,103469.937,81760.933,59617.023,39891.308,25594.885,15777.716,9517.012,4558.401,1201.337
LLDC: Asia,37108.381,31828.352,29217.541,24321.134,17411.913,13617.256,8656.220,3336.715,1334.432
LLDC: Europe,651.610,652.737,853.816,1099.853,862.709,803.847,732.935,318.872,140.964
LLDC: Latin America,3748.498,3633.974,3360.577,2748.225,1965.981,1431.956,1017.480,605.666,293.202
Land-locked Countries,151404.557,124172.822,100398.700,76968.951,55063.191,40203.224,27727.019,13943.158,5714.585
Land-locked Countries (Others),6426.131,6296.826,7349.743,8908.431,9227.703,8572.449,7803.372,5123.504,2744.650
Land-locked Developing Countries (LLDC),144978.426,117875.996,93048.957,68060.520,45835.488,31630.775,19923.647,8819.654,2969.935
Lao People's Democratic Republic,1566.742,1466.251,1362.625,1086.529,772.684,526.577,317.971,136.164,40.013
Latin America and the Caribbean,207774.490,211822.414,214699.514,198893.708,168253.350,136725.022,94230.368,50762.022,24763.776
Latin American Integration Association (ALADI),88547.317,90756.776,93194.142,87756.828,75305.955,61643.672,42462.689,22867.128,11124.044
Latin American and Caribbean Group (GRULAC),103420.948,105266.865,106842.723,98930.890,83508.971,67698.114,46558.044,24989.772,12159.996
Latvia,207.769,188.724,188.223,263.222,253.887,264.242,250.144,162.704,107.287
League of Arab States (LAS, informal name: Arab League),99754.859,79867.002,73227.717,68232.523,49939.437,33163.230,19946.636,9072.043,3175.428
Least developed countries,285555.325,237402.409,184411.628,134612.106,93445.326,62961.866,36246.554,17513.874,5289.075
Least developed: Africa,214611.284,166522.023,119720.591,81413.121,53593.459,33888.950,20134.679,9480.107,2471.275
Least developed: Asia,68134.029,68292.058,62461.557,51325.963,38635.319,28211.203,15547.624,7754.060,2713.062
Least developed: Latin America and the Caribbean,2500.779,2346.529,2044.457,1731.656,1106.487,789.624,523.932,260.215,98.854
Least developed: Oceania,309.233,241.799,185.023,141.366,110.061,72.089,40.319,19.492,5.884
Lebanon,1152.157,1134.997,1176.574,1009.646,862.743,724.778,447.767,211.573,105.207
Lesotho,478.748,428.821,395.192,327.281,210.251,140.771,96.813,48.309,16.066
Less developed regions,1204750.604,1113976.960,1040661.554,976281.609,801309.070,661751.833,437576.888,206705.784,78480.166
Less developed regions, excluding China,1031297.086,944584.046,851438.069,742650.631,580186.932,434599.221,281684.094,133167.714,50599.796
Less developed regions, excluding least developed countries,919195.279,876574.551,856249.926,841669.503,707863.744,598789.967,401330.334,189191.910,73191.091
Less developed: Africa,381402.490,297692.210,224709.051,169886.397,116573.518,76436.014,46583.911,21390.005,5924.517
Less developed: Asia,716574.932,707807.327,706504.373,705268.017,599284.837,516008.277,343306.988,159706.338,60117.239
Less developed: Latin America and the Caribbean,103887.245,105911.207,107349.757,99446.854,84126.675,68362.511,47115.184,25381.011,12381.888
Less developed: Oceania,2885.937,2566.216,2098.373,1680.341,1324.040,945.031,570.805,228.430,56.522
Liberia,1418.816,1175.025,840.853,629.808,444.196,283.828,168.470,76.455,20.226
Libya,1285.421,1185.744,1095.416,1163.468,1049.200,617.154,284.259,138.926,51.699
Lithuania,300.675,242.841,316.878,337.565,355.909,420.558,352.811,223.283,171.771
Low-income countries,224911.617,179569.769,134069.626,93195.222,62528.872,41278.828,24828.994,12027.919,3299.765
Lower-middle-income countries,613940.582,581612.259,527833.441,462274.937,360828.931,269565.934,174748.958,79291.858,28138.384
Luxembourg,65.906,65.901,85.533,98.316,94.600,90.856,62.123,37.873,24.868
Madagascar,7762.937,6342.928,4898.736,3370.908,2387.858,1539.765,915.208,359.863,112.816
Malawi,5662.519,4738.053,3377.518,2286.023,1436.741,846.148,480.248,244.242,58.463
Malaysia,5143.189,5115.769,5770.368,5651.218,3990.533,3146.037,2151.365,1025.181,372.338
Maldives,72.821,59.438,139.684,137.607,64.649,35.316,18.164,8.466,4.397
Mali,6760.319,5009.462,3203.818,2160.455,1485.961,849.119,501.291,231.083,49.326
Malta,43.102,40.927,55.212,65.353,59.446,53.212,57.680,45.166,21.441
Martinique,35.953,47.122,41.372,34.102,44.187,62.795,52.467,33.672,23.595
Mauritania,1307.828,1007.555,787.902,619.779,422.632,267.150,151.073,67.186,18.555
Mauritius,132.886,175.164,196.809,175.108,182.090,175.349,137.990,69.213,27.158
Mayotte,71.474,64.566,43.627,32.986,27.349,16.164,9.372,4.998,2.277
Melanesia,2645.857,2334.972,1901.919,1520.035,1183.592,816.747,486.415,190.422,43.031
Mexico,22169.253,22350.463,21735.593,18880.030,16547.758,12757.971,8264.953,4188.713,2038.019
Micronesia,107.160,103.237,91.988,71.081,59.517,56.333,37.983,16.275,5.353
Micronesia (Fed. States of),24.048,23.299,22.348,15.088,11.429,9.785,6.732,1.929,0.363
Middle Africa,57747.073,42361.734,29209.751,20438.643,13484.487,8524.366,4939.448,2298.891,590.732
Middle-income countries,978440.465,931104.529,898318.885,883389.136,737423.793,623496.463,422866.283,199098.925,78913.136
Mongolia,737.475,500.443,500.016,564.280,423.046,314.052,158.362,59.889,20.729
Montenegro,73.943,78.537,84.196,88.348,83.922,80.320,76.945,40.438,21.413
More developed regions,137630.630,139486.412,151418.277,174067.914,171845.953,171869.978,154208.414,105753.317,67023.366
More developed: Asia,10179.969,11267.171,12147.325,14455.416,18473.075,16541.515,15875.235,16185.375,11351.377
