country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SE,Sweden,Södermanland County,,2020-04-04,-23,-5,59,-39,-19,7
SE,Sweden,Södermanland County,,2020-04-05,-21,-9,41,-45,-20,6
SE,Sweden,Södermanland County,,2020-04-06,-9,0,,-38,-36,10
SE,Sweden,Södermanland County,,2020-04-07,-7,2,,-37,-37,10
SE,Sweden,Södermanland County,,2020-04-08,0,12,,-38,-38,10
SE,Sweden,Södermanland County,,2020-04-09,8,20,,-35,-44,12
SE,Sweden,Södermanland County,,2020-04-10,-40,-16,,-52,-78,20
SE,Sweden,Södermanland County,,2020-04-11,-37,-14,,-34,-20,6
SE,Sweden,Södermanland County,,2020-04-12,-28,-11,49,-43,-19,6
SE,Sweden,Södermanland County,,2020-04-13,-37,-16,,-57,-80,23
SE,Sweden,Södermanland County,,2020-04-14,-11,-6,,-37,-26,9
SE,Sweden,Södermanland County,,2020-04-15,-12,-1,,-34,-26,9
SE,Sweden,Södermanland County,,2020-04-16,-11,-3,,-37,-27,10
SE,Sweden,Södermanland County,,2020-04-17,-10,-2,,-39,-27,10
SE,Sweden,Stockholm County,,2020-02-15,3,0,-3,5,-1,1
SE,Sweden,Stockholm County,,2020-02-16,-7,-6,-25,-4,-3,2
SE,Sweden,Stockholm County,,2020-02-17,-3,-1,0,-1,1,1
SE,Sweden,Stockholm County,,2020-02-18,0,0,9,-1,2,0
SE,Sweden,Stockholm County,,2020-02-19,2,1,22,-1,2,0
SE,Sweden,Stockholm County,,2020-02-20,1,0,-1,-1,1,0
SE,Sweden,Stockholm County,,2020-02-21,5,2,17,3,1,0
SE,Sweden,Stockholm County,,2020-02-22,-2,-3,-21,-2,-4,1
SE,Sweden,Stockholm County,,2020-02-23,0,-3,23,2,0,-1
SE,Sweden,Stockholm County,,2020-02-24,1,-4,16,-7,-16,2
SE,Sweden,Stockholm County,,2020-02-25,6,3,2,-8,-16,2
SE,Sweden,Stockholm County,,2020-02-26,-1,-3,-10,-12,-17,2
SE,Sweden,Stockholm County,,2020-02-27,-3,-5,-15,-10,-19,3
SE,Sweden,Stockholm County,,2020-02-28,1,-4,4,-7,-21,3
SE,Sweden,Stockholm County,,2020-02-29,-2,-3,-4,1,-2,-1
SE,Sweden,Stockholm County,,2020-03-01,-8,-4,-26,-6,-4,0
SE,Sweden,Stockholm County,,2020-03-02,-1,3,6,-2,0,1
SE,Sweden,Stockholm County,,2020-03-03,-3,2,-5,-5,1,1
SE,Sweden,Stockholm County,,2020-03-04,-6,-2,-18,-6,0,2
SE,Sweden,Stockholm County,,2020-03-05,-2,3,-9,-6,0,1
SE,Sweden,Stockholm County,,2020-03-06,3,3,27,0,0,1
SE,Sweden,Stockholm County,,2020-03-07,4,3,14,3,1,1
SE,Sweden,Stockholm County,,2020-03-08,0,-1,5,-3,-1,1
SE,Sweden,Stockholm County,,2020-03-09,-3,0,11,-5,-1,1
SE,Sweden,Stockholm County,,2020-03-10,-5,2,-3,-7,-1,1
SE,Sweden,Stockholm County,,2020-03-11,-7,5,-4,-10,-3,3
SE,Sweden,Stockholm County,,2020-03-12,-16,12,-30,-20,-9,6
SE,Sweden,Stockholm County,,2020-03-13,-16,12,-3,-22,-18,9
SE,Sweden,Stockholm County,,2020-03-14,-20,8,21,-21,-7,5
SE,Sweden,Stockholm County,,2020-03-15,-28,-5,-19,-32,-12,5
SE,Sweden,Stockholm County,,2020-03-16,-23,3,-3,-31,-26,11
SE,Sweden,Stockholm County,,2020-03-17,-29,-1,-13,-40,-34,14
SE,Sweden,Stockholm County,,2020-03-18,-32,-5,-20,-45,-40,17
SE,Sweden,Stockholm County,,2020-03-19,-28,-3,20,-43,-41,16
SE,Sweden,Stockholm County,,2020-03-20,-32,-8,-18,-45,-41,17
SE,Sweden,Stockholm County,,2020-03-21,-33,-11,8,-40,-17,8
SE,Sweden,Stockholm County,,2020-03-22,-32,-13,36,-41,-19,6
SE,Sweden,Stockholm County,,2020-03-23,-33,-13,-13,-46,-41,17
SE,Sweden,Stockholm County,,2020-03-24,-32,-10,0,-46,-41,17
SE,Sweden,Stockholm County,,2020-03-25,-28,-3,2,-45,-41,16
SE,Sweden,Stockholm County,,2020-03-26,-27,-5,26,-44,-42,16
SE,Sweden,Stockholm County,,2020-03-27,-29,-7,14,-44,-41,17
SE,Sweden,Stockholm County,,2020-03-28,-32,-9,10,-42,-18,8
SE,Sweden,Stockholm County,,2020-03-29,-31,-14,24,-45,-21,7
SE,Sweden,Stockholm County,,2020-03-30,-34,-15,-25,-49,-43,17
SE,Sweden,Stockholm County,,2020-03-31,-30,-10,5,-47,-42,16
SE,Sweden,Stockholm County,,2020-04-01,-30,-7,20,-46,-42,16
SE,Sweden,Stockholm County,,2020-04-02,-33,-11,-15,-50,-43,18
SE,Sweden,Stockholm County,,2020-04-03,-33,-9,-16,-49,-44,18
SE,Sweden,Stockholm County,,2020-04-04,-32,-9,31,-42,-19,8
SE,Sweden,Stockholm County,,2020-04-05,-34,-15,12,-51,-22,8
SE,Sweden,Stockholm County,,2020-04-06,-22,-5,62,-45,-49,16
SE,Sweden,Stockholm County,,2020-04-07,-26,-5,11,-49,-49,17
SE,Sweden,Stockholm County,,2020-04-08,-19,3,54,-45,-49,15
SE,Sweden,Stockholm County,,2020-04-09,-15,12,36,-48,-55,17
SE,Sweden,Stockholm County,,2020-04-10,-46,-15,58,-60,-82,26
SE,Sweden,Stockholm County,,2020-04-11,-42,-17,44,-45,-27,7
SE,Sweden,Stockholm County,,2020-04-12,-41,-23,4,-54,-27,8
SE,Sweden,Stockholm County,,2020-04-13,-41,-19,21,-65,-84,26
SE,Sweden,Stockholm County,,2020-04-14,-29,-11,7,-48,-42,16
SE,Sweden,Stockholm County,,2020-04-15,-25,-7,52,-43,-41,15
SE,Sweden,Stockholm County,,2020-04-16,-27,-6,11,-47,-41,16
SE,Sweden,Stockholm County,,2020-04-17,-27,-5,18,-44,-42,16
SE,Sweden,Uppsala County,,2020-02-15,-5,-3,-14,-5,-5,0
SE,Sweden,Uppsala County,,2020-02-16,-11,-8,-43,-12,-2,1
SE,Sweden,Uppsala County,,2020-02-17,-7,-6,-5,-14,-18,3
SE,Sweden,Uppsala County,,2020-02-18,-5,-3,10,-14,-16,3
SE,Sweden,Uppsala County,,2020-02-19,2,-2,39,-9,-17,2
SE,Sweden,Uppsala County,,2020-02-20,-3,-2,-4,-13,-19,3
SE,Sweden,Uppsala County,,2020-02-21,0,-5,23,-13,-21,3
SE,Sweden,Uppsala County,,2020-02-22,-5,-6,-21,-7,-5,0
SE,Sweden,Uppsala County,,2020-02-23,-2,2,33,-2,-3,-1
SE,Sweden,Uppsala County,,2020-02-24,1,1,20,-3,1,0
SE,Sweden,Uppsala County,,2020-02-25,14,13,7,-1,2,0
SE,Sweden,Uppsala County,,2020-02-26,10,1,-3,-2,1,0
SE,Sweden,Uppsala County,,2020-02-27,5,3,-16,-2,0,1
SE,Sweden,Uppsala County,,2020-02-28,9,3,12,1,-1,1
SE,Sweden,Uppsala County,,2020-02-29,8,2,6,1,0,0
SE,Sweden,Uppsala County,,2020-03-01,-3,-5,-41,-10,-2,2
SE,Sweden,Uppsala County,,2020-03-02,0,4,12,-3,1,1
SE,Sweden,Uppsala County,,2020-03-03,-4,2,0,-4,2,1
SE,Sweden,Uppsala County,,2020-03-04,-7,-5,-28,5,0,2
SE,Sweden,Uppsala County,,2020-03-05,-2,1,0,3,1,1
SE,Sweden,Uppsala County,,2020-03-06,-2,1,14,3,0,1
SE,Sweden,Uppsala County,,2020-03-07,-3,2,9,13,-2,0
SE,Sweden,Uppsala County,,2020-03-08,-6,-3,-19,1,-2,1
SE,Sweden,Uppsala County,,2020-03-09,-6,1,22,-3,0,1
SE,Sweden,Uppsala County,,2020-03-10,-8,1,10,-1,2,1
SE,Sweden,Uppsala County,,2020-03-11,-7,3,3,-4,-1,2
SE,Sweden,Uppsala County,,2020-03-12,-9,15,1,-12,-5,4
SE,Sweden,Uppsala County,,2020-03-13,-12,11,12,-20,-11,6
SE,Sweden,Uppsala County,,2020-03-14,-20,10,45,-20,-7,4
SE,Sweden,Uppsala County,,2020-03-15,-27,2,-22,-30,-11,5
SE,Sweden,Uppsala County,,2020-03-16,-20,6,28,-27,-18,9
SE,Sweden,Uppsala County,,2020-03-17,-27,3,-7,-33,-23,11
SE,Sweden,Uppsala County,,2020-03-18,-26,1,5,-39,-30,13
SE,Sweden,Uppsala County,,2020-03-19,-21,2,73,-36,-30,13
SE,Sweden,Uppsala County,,2020-03-20,-26,-3,3,-42,-32,14
SE,Sweden,Uppsala County,,2020-03-21,-29,-5,47,-33,-18,7
SE,Sweden,Uppsala County,,2020-03-22,-30,-8,50,-34,-17,6
SE,Sweden,Uppsala County,,2020-03-23,-28,-6,15,-41,-30,13
SE,Sweden,Uppsala County,,2020-03-24,-29,-6,15,-41,-30,13
SE,Sweden,Uppsala County,,2020-03-25,-21,3,25,-39,-31,13
SE,Sweden,Uppsala County,,2020-03-26,-18,1,85,-35,-31,13
SE,Sweden,Uppsala County,,2020-03-27,-20,-2,57,-38,-31,13
SE,Sweden,Uppsala County,,2020-03-28,-26,-2,54,-34,-15,7
SE,Sweden,Uppsala County,,2020-03-29,-27,-9,35,-36,-18,7
SE,Sweden,Uppsala County,,2020-03-30,-28,-9,-3,-43,-31,14
SE,Sweden,Uppsala County,,2020-03-31,-24,-5,37,-41,-30,13
SE,Sweden,Uppsala County,,2020-04-01,-20,-1,64,-38,-30,13
SE,Sweden,Uppsala County,,2020-04-02,-25,-6,13,-44,-31,14
SE,Sweden,Uppsala County,,2020-04-03,-27,-4,3,-46,-32,15
SE,Sweden,Uppsala County,,2020-04-04,-28,-1,72,-37,-15,7
SE,Sweden,Uppsala County,,2020-04-05,-30,-7,26,-43,-20,8
SE,Sweden,Uppsala County,,2020-04-06,-13,1,,-39,-40,13
SE,Sweden,Uppsala County,,2020-04-07,-17,5,41,-44,-40,14
SE,Sweden,Uppsala County,,2020-04-08,-5,12,91,-41,-41,13
SE,Sweden,Uppsala County,,2020-04-09,0,21,91,-42,-49,14
SE,Sweden,Uppsala County,,2020-04-10,-46,-17,131,-60,-81,24
SE,Sweden,Uppsala County,,2020-04-11,-45,-13,103,-39,-22,6
SE,Sweden,Uppsala County,,2020-04-12,-39,-15,14,-43,-20,7
SE,Sweden,Uppsala County,,2020-04-13,-36,-14,62,-65,-83,25
SE,Sweden,Uppsala County,,2020-04-14,-20,-4,44,-39,-27,12
SE,Sweden,Uppsala County,,2020-04-15,-16,-2,,-35,-28,11
SE,Sweden,Uppsala County,,2020-04-16,-18,1,58,-39,-28,13
SE,Sweden,Uppsala County,,2020-04-17,-18,1,51,-41,-28,13
SE,Sweden,Varmland County,,2020-02-15,22,7,20,50,0,1
SE,Sweden,Varmland County,,2020-02-16,8,-4,-32,-3,-2,2
SE,Sweden,Varmland County,,2020-02-17,0,0,3,-1,1,1
SE,Sweden,Varmland County,,2020-02-18,2,1,19,2,1,0
SE,Sweden,Varmland County,,2020-02-19,13,4,33,4,2,0
SE,Sweden,Varmland County,,2020-02-20,13,3,-3,-1,1,1
SE,Sweden,Varmland County,,2020-02-21,10,2,16,2,1,0
SE,Sweden,Varmland County,,2020-02-22,6,1,-16,1,0,1
SE,Sweden,Varmland County,,2020-02-23,5,0,4,7,0,-1
SE,Sweden,Varmland County,,2020-02-24,9,1,30,-9,-16,2
SE,Sweden,Varmland County,,2020-02-25,15,10,7,-6,-15,2
SE,Sweden,Varmland County,,2020-02-26,14,3,8,-10,-16,2
SE,Sweden,Varmland County,,2020-02-27,18,4,11,-7,-19,2
SE,Sweden,Varmland County,,2020-02-28,13,-1,2,-8,-22,3
SE,Sweden,Varmland County,,2020-02-29,6,4,2,1,2,0
SE,Sweden,Varmland County,,2020-03-01,-2,-4,-35,-5,-5,1
SE,Sweden,Varmland County,,2020-03-02,6,5,2,-2,0,0
SE,Sweden,Varmland County,,2020-03-03,6,1,4,1,2,0
SE,Sweden,Varmland County,,2020-03-04,-1,2,-9,-4,1,2
SE,Sweden,Varmland County,,2020-03-05,-1,5,-6,-5,0,2
SE,Sweden,Varmland County,,2020-03-06,-1,3,4,-2,1,2
SE,Sweden,Varmland County,,2020-03-07,11,4,11,0,3,0
SE,Sweden,Varmland County,,2020-03-08,2,-3,-36,-10,-4,2
SE,Sweden,Varmland County,,2020-03-09,2,2,14,-2,-2,1
SE,Sweden,Varmland County,,2020-03-10,2,-1,3,-2,0,1
SE,Sweden,Varmland County,,2020-03-11,0,5,10,-3,0,2
SE,Sweden,Varmland County,,2020-03-12,0,14,-7,-7,-2,3
SE,Sweden,Varmland County,,2020-03-13,-7,6,-3,-12,-6,5
SE,Sweden,Varmland County,,2020-03-14,-18,4,22,-5,-2,3
SE,Sweden,Varmland County,,2020-03-15,-23,-3,-50,-27,-11,5
SE,Sweden,Varmland County,,2020-03-16,-16,3,15,-17,-11,6
SE,Sweden,Varmland County,,2020-03-17,-26,0,-7,-21,-14,7
SE,Sweden,Varmland County,,2020-03-18,-23,-4,-6,-27,-20,9
SE,Sweden,Varmland County,,2020-03-19,-23,-3,14,-23,-21,9
SE,Sweden,Varmland County,,2020-03-20,-24,-6,-1,-31,-22,9
SE,Sweden,Varmland County,,2020-03-21,-32,-8,17,-14,-10,5
SE,Sweden,Varmland County,,2020-03-22,-29,-9,-3,-22,-14,4
SE,Sweden,Varmland County,,2020-03-23,-21,-8,-9,-32,-19,8
SE,Sweden,Varmland County,,2020-03-24,-25,-7,-4,-26,-19,8
SE,Sweden,Varmland County,,2020-03-25,-16,1,-1,-28,-19,9
SE,Sweden,Varmland County,,2020-03-26,-18,-3,17,-25,-19,8
SE,Sweden,Varmland County,,2020-03-27,-16,-5,11,-29,-21,9
SE,Sweden,Varmland County,,2020-03-28,-27,-8,-2,-15,-9,5
SE,Sweden,Varmland County,,2020-03-29,-28,-11,0,-25,-13,5
SE,Sweden,Varmland County,,2020-03-30,-16,-8,5,-28,-20,8
SE,Sweden,Varmland County,,2020-03-31,-17,-4,20,-22,-19,7
SE,Sweden,Varmland County,,2020-04-01,-18,-3,5,-26,-21,8
SE,Sweden,Varmland County,,2020-04-02,-26,-7,-17,-33,-22,10
SE,Sweden,Varmland County,,2020-04-03,-21,-6,6,-31,-21,9
SE,Sweden,Varmland County,,2020-04-04,-31,-8,10,-17,-11,5
SE,Sweden,Varmland County,,2020-04-05,-33,-11,-19,-34,-15,6
SE,Sweden,Varmland County,,2020-04-06,-7,-2,59,-18,-21,7
SE,Sweden,Varmland County,,2020-04-07,-9,4,45,-14,-20,6
SE,Sweden,Varmland County,,2020-04-08,0,14,17,-18,-22,7
SE,Sweden,Varmland County,,2020-04-09,2,21,29,-16,-30,9
SE,Sweden,Varmland County,,2020-04-10,-47,-22,69,-37,-78,19
SE,Sweden,Varmland County,,2020-04-11,-49,-17,1,-19,-19,5
SE,Sweden,Varmland County,,2020-04-12,-38,-15,2,-29,-19,5
SE,Sweden,Varmland County,,2020-04-13,-40,-20,-5,-48,-80,22
SE,Sweden,Varmland County,,2020-04-14,-11,-4,9,-25,-30,8
SE,Sweden,Varmland County,,2020-04-15,-11,-3,49,-21,-30,9
SE,Sweden,Varmland County,,2020-04-16,-15,-3,30,-24,-31,10
SE,Sweden,Varmland County,,2020-04-17,-15,-4,31,-28,-33,10
SE,Sweden,Västerbotten County,,2020-02-15,16,1,38,-3,3,0
SE,Sweden,Västerbotten County,,2020-02-16,-14,-8,-42,-6,-2,2
SE,Sweden,Västerbotten County,,2020-02-17,1,2,15,3,0,1
SE,Sweden,Västerbotten County,,2020-02-18,1,2,17,3,-1,0
SE,Sweden,Västerbotten County,,2020-02-19,5,2,9,-1,0,0
SE,Sweden,Västerbotten County,,2020-02-20,7,6,1,-2,1,1
SE,Sweden,Västerbotten County,,2020-02-21,0,1,4,4,-2,0
SE,Sweden,Västerbotten County,,2020-02-22,12,1,25,9,2,-1
SE,Sweden,Västerbotten County,,2020-02-23,6,5,14,13,2,-1
SE,Sweden,Västerbotten County,,2020-02-24,3,3,6,-1,0,1
SE,Sweden,Västerbotten County,,2020-02-25,15,20,36,8,1,-1
SE,Sweden,Västerbotten County,,2020-02-26,12,3,12,4,0,0
SE,Sweden,Västerbotten County,,2020-02-27,17,11,16,2,2,0
SE,Sweden,Västerbotten County,,2020-02-28,10,2,23,8,-4,0
SE,Sweden,Västerbotten County,,2020-02-29,17,3,29,5,4,-2
SE,Sweden,Västerbotten County,,2020-03-01,4,2,-4,9,-4,-1
SE,Sweden,Västerbotten County,,2020-03-02,6,5,-1,-10,-17,3
SE,Sweden,Västerbotten County,,2020-03-03,8,6,26,-8,-17,2
SE,Sweden,Västerbotten County,,2020-03-04,4,3,2,-11,-17,2
SE,Sweden,Västerbotten County,,2020-03-05,0,-1,0,-11,-21,4
SE,Sweden,Västerbotten County,,2020-03-06,-4,-1,45,-11,-25,3
SE,Sweden,Västerbotten County,,2020-03-07,-2,0,119,4,-4,-2
SE,Sweden,Västerbotten County,,2020-03-08,-4,-1,-24,-2,0,-2
SE,Sweden,Västerbotten County,,2020-03-09,3,5,14,-1,0,0
SE,Sweden,Västerbotten County,,2020-03-10,9,4,26,2,1,-1
SE,Sweden,Västerbotten County,,2020-03-11,0,5,-6,-6,0,1
SE,Sweden,Västerbotten County,,2020-03-12,1,16,5,-9,-1,2
SE,Sweden,Västerbotten County,,2020-03-13,-13,7,6,-12,-5,3
SE,Sweden,Västerbotten County,,2020-03-14,-15,6,92,-10,-6,1
SE,Sweden,Västerbotten County,,2020-03-15,-21,2,-9,-15,-5,2
SE,Sweden,Västerbotten County,,2020-03-16,-12,5,2,-18,-11,5
SE,Sweden,Västerbotten County,,2020-03-17,-18,7,-5,-23,-11,6
SE,Sweden,Västerbotten County,,2020-03-18,-17,2,31,-23,-17,7
SE,Sweden,Västerbotten County,,2020-03-19,-17,1,10,-30,-18,8
SE,Sweden,Västerbotten County,,2020-03-20,-24,-3,27,-29,-21,8
SE,Sweden,Västerbotten County,,2020-03-21,-29,-6,120,-26,-17,3
SE,Sweden,Västerbotten County,,2020-03-22,-30,-8,13,-29,-16,3
SE,Sweden,Västerbotten County,,2020-03-23,-20,-7,9,-32,-23,9
SE,Sweden,Västerbotten County,,2020-03-24,-21,-3,20,-29,-23,9
SE,Sweden,Västerbotten County,,2020-03-25,-16,1,16,-30,-22,9
SE,Sweden,Västerbotten County,,2020-03-26,-13,2,28,-33,-23,9
SE,Sweden,Västerbotten County,,2020-03-27,-22,-5,13,-34,-24,9
SE,Sweden,Västerbotten County,,2020-03-28,-24,-5,52,-33,-18,5
SE,Sweden,Västerbotten County,,2020-03-29,-27,-10,34,-32,-18,3
SE,Sweden,Västerbotten County,,2020-03-30,-18,-8,22,-33,-24,8
SE,Sweden,Västerbotten County,,2020-03-31,-20,-4,5,-32,-24,9
SE,Sweden,Västerbotten County,,2020-04-01,-19,-3,23,-34,-25,9
SE,Sweden,Västerbotten County,,2020-04-02,-21,-3,-3,-38,-26,11
SE,Sweden,Västerbotten County,,2020-04-03,-30,-8,10,-38,-27,11
SE,Sweden,Västerbotten County,,2020-04-04,-29,-7,72,-33,-20,5
SE,Sweden,Västerbotten County,,2020-04-05,-29,-8,67,-35,-19,4
SE,Sweden,Västerbotten County,,2020-04-06,-17,-5,22,-37,-27,10
SE,Sweden,Västerbotten County,,2020-04-07,-17,5,30,-29,-28,9
SE,Sweden,Västerbotten County,,2020-04-08,-11,15,29,-31,-27,8
SE,Sweden,Västerbotten County,,2020-04-09,-8,21,65,-32,-37,9
SE,Sweden,Västerbotten County,,2020-04-10,-67,-30,112,-57,-82,21
SE,Sweden,Västerbotten County,,2020-04-11,-53,-25,188,-37,-29,2
SE,Sweden,Västerbotten County,,2020-04-12,-47,-21,-1,-51,-32,6
SE,Sweden,Västerbotten County,,2020-04-13,-55,-26,-24,-65,-83,23
SE,Sweden,Västerbotten County,,2020-04-14,-15,-2,33,-39,-40,11
SE,Sweden,Västerbotten County,,2020-04-15,-18,-6,55,-36,-38,11
SE,Sweden,Västerbotten County,,2020-04-16,-14,-4,55,-39,-39,11
SE,Sweden,Västerbotten County,,2020-04-17,-24,-8,41,-41,-40,12
SE,Sweden,Västernorrland County,,2020-02-15,2,2,,2,0,0
SE,Sweden,Västernorrland County,,2020-02-16,-11,-7,-35,-8,-5,1
SE,Sweden,Västernorrland County,,2020-02-17,-3,-1,,0,1,1
SE,Sweden,Västernorrland County,,2020-02-18,1,-1,,4,2,0
SE,Sweden,Västernorrland County,,2020-02-19,3,2,,-1,-1,0
SE,Sweden,Västernorrland County,,2020-02-20,3,4,,-4,0,1
SE,Sweden,Västernorrland County,,2020-02-21,8,0,,2,0,0
SE,Sweden,Västernorrland County,,2020-02-22,-2,-1,,-4,-1,0
SE,Sweden,Västernorrland County,,2020-02-23,0,3,12,4,0,0
SE,Sweden,Västernorrland County,,2020-02-24,3,2,,1,2,1
SE,Sweden,Västernorrland County,,2020-02-25,17,14,,5,2,-1
SE,Sweden,Västernorrland County,,2020-02-26,8,4,,3,1,0
SE,Sweden,Västernorrland County,,2020-02-27,15,9,,2,1,0
SE,Sweden,Västernorrland County,,2020-02-28,9,2,,5,-2,0
SE,Sweden,Västernorrland County,,2020-02-29,8,8,,13,5,-2
SE,Sweden,Västernorrland County,,2020-03-01,-5,-3,-16,-6,-3,0
SE,Sweden,Västernorrland County,,2020-03-02,-7,-9,,-15,-21,4
SE,Sweden,Västernorrland County,,2020-03-03,-2,-2,,-12,-20,3
SE,Sweden,Västernorrland County,,2020-03-04,-8,-12,,-18,-24,5
SE,Sweden,Västernorrland County,,2020-03-05,-5,-2,,-16,-25,4
SE,Sweden,Västernorrland County,,2020-03-06,-6,-3,,-11,-27,4
SE,Sweden,Västernorrland County,,2020-03-07,-15,-1,,7,-5,-1
SE,Sweden,Västernorrland County,,2020-03-08,-6,-3,-27,-9,-6,-1
SE,Sweden,Västernorrland County,,2020-03-09,3,2,,0,0,1
SE,Sweden,Västernorrland County,,2020-03-10,0,2,,2,1,0
SE,Sweden,Västernorrland County,,2020-03-11,-3,4,,-8,-1,2
SE,Sweden,Västernorrland County,,2020-03-12,-2,13,,-12,-2,2
SE,Sweden,Västernorrland County,,2020-03-13,-12,4,,-12,-6,3
SE,Sweden,Västernorrland County,,2020-03-14,-20,7,,-9,-4,2
SE,Sweden,Västernorrland County,,2020-03-15,-20,4,-14,-19,-7,3
SE,Sweden,Västernorrland County,,2020-03-16,-15,3,,-14,-9,5
SE,Sweden,Västernorrland County,,2020-03-17,-20,0,,-18,-10,5
SE,Sweden,Västernorrland County,,2020-03-18,-19,-1,,-22,-16,7
SE,Sweden,Västernorrland County,,2020-03-19,-16,2,,-28,-18,8
SE,Sweden,Västernorrland County,,2020-03-20,-20,-5,,-28,-21,8
SE,Sweden,Västernorrland County,,2020-03-21,-30,-4,,-14,-12,3
SE,Sweden,Västernorrland County,,2020-03-22,-27,-6,,-25,-12,3
SE,Sweden,Västernorrland County,,2020-03-23,-21,-8,,-29,-18,7
SE,Sweden,Västernorrland County,,2020-03-24,-21,-8,,-28,-19,8
SE,Sweden,Västernorrland County,,2020-03-25,-14,4,,-26,-18,8
SE,Sweden,Västernorrland County,,2020-03-26,-14,2,,-31,-19,8
SE,Sweden,Västernorrland County,,2020-03-27,-16,-5,,-27,-20,8
SE,Sweden,Västernorrland County,,2020-03-28,-24,-1,,-14,-14,4
SE,Sweden,Västernorrland County,,2020-03-29,-26,-9,,-26,-17,4
SE,Sweden,Västernorrland County,,2020-03-30,-18,-9,,-29,-19,8
SE,Sweden,Västernorrland County,,2020-03-31,-22,-9,,-29,-19,8
SE,Sweden,Västernorrland County,,2020-04-01,-20,-3,,-27,-19,8
SE,Sweden,Västernorrland County,,2020-04-02,-19,-3,,-34,-21,9
SE,Sweden,Västernorrland County,,2020-04-03,-27,-7,,-33,-22,10
SE,Sweden,Västernorrland County,,2020-04-04,-30,-1,,-20,-17,5
SE,Sweden,Västernorrland County,,2020-04-05,-27,-7,,-30,-17,5
SE,Sweden,Västernorrland County,,2020-04-06,-14,-5,,-26,-22,8
SE,Sweden,Västernorrland County,,2020-04-07,-13,2,,-26,-22,8
SE,Sweden,Västernorrland County,,2020-04-08,-6,16,,-23,-23,7
SE,Sweden,Västernorrland County,,2020-04-09,-3,22,,-28,-31,8
SE,Sweden,Västernorrland County,,2020-04-10,-61,-29,,-51,-79,20
SE,Sweden,Västernorrland County,,2020-04-11,-48,-15,,-16,-21,3
SE,Sweden,Västernorrland County,,2020-04-12,-38,-14,,-38,-22,5
SE,Sweden,Västernorrland County,,2020-04-13,-49,-26,,-60,-81,22
SE,Sweden,Västernorrland County,,2020-04-14,-15,-8,,-31,-35,10
SE,Sweden,Västernorrland County,,2020-04-15,-19,-3,,-28,-34,10
SE,Sweden,Västernorrland County,,2020-04-16,-13,-2,,-33,-35,11
SE,Sweden,Västernorrland County,,2020-04-17,-18,-5,,-30,-36,11
SE,Sweden,Västmanland County,,2020-02-15,4,-1,-10,8,0,1
SE,Sweden,Västmanland County,,2020-02-16,-6,-5,-48,-2,-5,2
SE,Sweden,Västmanland County,,2020-02-17,-4,-5,,-2,-1,1
SE,Sweden,Västmanland County,,2020-02-18,-1,3,,-4,0,1
SE,Sweden,Västmanland County,,2020-02-19,6,3,,3,1,0
SE,Sweden,Västmanland County,,2020-02-20,5,5,,-1,1,1
SE,Sweden,Västmanland County,,2020-02-21,10,2,,1,0,0
SE,Sweden,Västmanland County,,2020-02-22,8,-1,-41,0,1,1
SE,Sweden,Västmanland County,,2020-02-23,7,0,39,6,-1,0
SE,Sweden,Västmanland County,,2020-02-24,2,-3,,-10,-14,2
SE,Sweden,Västmanland County,,2020-02-25,13,10,,-10,-13,1
SE,Sweden,Västmanland County,,2020-02-26,10,0,,-12,-14,2
SE,Sweden,Västmanland County,,2020-02-27,11,-1,,-7,-17,2
SE,Sweden,Västmanland County,,2020-02-28,7,-2,,-4,-18,2
SE,Sweden,Västmanland County,,2020-02-29,9,2,-18,5,-1,0
SE,Sweden,Västmanland County,,2020-03-01,0,-4,-39,-5,-5,1
SE,Sweden,Västmanland County,,2020-03-02,3,3,,-2,1,0
SE,Sweden,Västmanland County,,2020-03-03,3,2,,-6,1,0
SE,Sweden,Västmanland County,,2020-03-04,-5,-4,,-7,0,1
SE,Sweden,Västmanland County,,2020-03-05,3,2,,-1,1,1
SE,Sweden,Västmanland County,,2020-03-06,2,1,,2,1,1
SE,Sweden,Västmanland County,,2020-03-07,4,4,16,11,2,0
SE,Sweden,Västmanland County,,2020-03-08,4,-4,-7,-7,-1,1
SE,Sweden,Västmanland County,,2020-03-09,-1,1,,-3,1,1
SE,Sweden,Västmanland County,,2020-03-10,0,2,,-7,1,1
SE,Sweden,Västmanland County,,2020-03-11,0,4,,-6,0,1
SE,Sweden,Västmanland County,,2020-03-12,-1,13,,-13,-2,3
SE,Sweden,Västmanland County,,2020-03-13,-10,7,,-17,-6,4
SE,Sweden,Västmanland County,,2020-03-14,-14,8,,-10,-5,4
SE,Sweden,Västmanland County,,2020-03-15,-20,1,-25,-29,-8,4
SE,Sweden,Västmanland County,,2020-03-16,-15,3,,-21,-12,6
SE,Sweden,Västmanland County,,2020-03-17,-22,2,,-34,-17,8
SE,Sweden,Västmanland County,,2020-03-18,-22,-2,,-39,-24,10
SE,Sweden,Västmanland County,,2020-03-19,-16,0,,-33,-24,9
SE,Sweden,Västmanland County,,2020-03-20,-22,-5,,-40,-25,10
