"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","date"
"23",24,30,3.21347727857219,0.940736193486901,1.48581806484922,1.68989752265514,4.7422531012797,3.16743048364414,4.7422531012797,4.7422531012797,5.0056076875369,"22/03/2020"
"24",25,31,2.97978269939607,0.818420580898936,1.49419663175371,1.66346845281842,4.31375103805673,2.93823328202851,4.31375103805673,4.31375103805673,4.52894174111077,"23/03/2020"
"25",26,32,3.00825913641251,0.764969894462074,1.60542293613334,1.77774667830987,4.25169409614233,2.97060607283642,4.25169409614233,4.25169409614233,4.45173574015919,"24/03/2020"
"26",27,33,2.79847179043936,0.667010347317739,1.51238912027169,1.69213193061722,3.86095779287074,2.78325856706331,3.86095779287074,3.86095779287074,4.02323734217897,"25/03/2020"
"27",28,34,2.48562617429732,0.559524069152418,1.37979353426555,1.53294008033901,3.35941086730304,2.48700875171037,3.35941086730304,3.35941086730304,3.4812120550087,"26/03/2020"
"28",29,35,2.37333319264578,0.499183252823935,1.39563508288379,1.52460601534468,3.15166475738452,2.3778079917049,3.15166475738452,3.15166475738452,3.24958083171244,"27/03/2020"
"29",30,36,2.1035588037968,0.413103839862418,1.28816550187448,1.40269405195442,2.74660554934651,2.10782636661354,2.74660554934651,2.74660554934651,2.82080037086979,"28/03/2020"
"30",31,37,1.8878152811593,0.339594828932802,1.22792461198095,1.31753871986983,2.4186849540523,1.89113674725614,2.4186849540523,2.4186849540523,2.48001438545759,"29/03/2020"
"31",32,38,1.62225468014502,0.259130448787136,1.12761335190684,1.19211589155065,2.03017612592708,1.62412545594203,2.03017612592708,2.03017612592708,2.07697178001786,"30/03/2020"
"32",33,39,1.42930485159313,0.192712445879129,1.07860057792699,1.11351390604226,1.73841967920026,1.42943518853041,1.73841967920026,1.73841967920026,1.7703193576864,"31/03/2020"
"33",34,40,1.2393136701476,0.133961914225376,1.00531986294447,1.02610451330793,1.45867533298045,1.23821586996502,1.45867533298045,1.45867533298045,1.47985567635273,"01/04/2020"
"34",35,41,1.13232836297876,0.0920318193569851,0.977117326419972,0.993489539796872,1.28718713089555,1.1293721033834,1.28718713089555,1.28718713089555,1.30302946242294,"02/04/2020"
"35",36,42,0.912253554226594,0.0535200800997513,0.817875923856463,0.8314458955977,1.00404016122954,0.908790804611451,1.00404016122954,1.00404016122954,1.01645904133658,"03/04/2020"
"36",37,43,0.826218047800952,0.0355548983529327,0.756190149614901,0.76661061118656,0.885234573675398,0.826339705529874,0.885234573675398,0.885234573675398,0.89576338770554,"04/04/2020"
"37",38,44,0.743255704175662,0.0339905111222297,0.682730391060533,0.690921319213364,0.797553669225119,0.742623291404184,0.797553669225119,0.797553669225119,0.820720413674671,"05/04/2020"
"38",39,45,0.685203811395479,0.042287464817145,0.621430500694138,0.628790153581637,0.766226388021116,0.680530415284503,0.766226388021116,0.766226388021116,0.798988439461927,"06/04/2020"
"39",40,46,0.595641444792513,0.0476943109232032,0.528197591548384,0.535255023160372,0.69178884141215,0.587531401635445,0.69178884141215,0.69178884141215,0.726079793347363,"07/04/2020"
"40",41,47,0.572183478395961,0.0585792028212855,0.495153994405358,0.502845165544964,0.690113386299968,0.560171765742967,0.690113386299968,0.690113386299968,0.735439518698498,"08/04/2020"
"41",42,48,0.558022407995553,0.0663138020582699,0.472932001658709,0.481327884285034,0.693767923937303,0.543234574923973,0.693767923937303,0.693767923937303,0.743433044958295,"09/04/2020"
"42",43,49,0.561966078940453,0.0728627106286714,0.469498109958489,0.47798336806493,0.710453101583832,0.545303000369067,0.710453101583832,0.710453101583832,0.761975115001434,"10/04/2020"
"43",44,50,0.583530460658793,0.0784064176666541,0.483286296554659,0.491657625128529,0.742431539748274,0.565791526117207,0.742431539748274,0.742431539748274,0.79246999634651,"11/04/2020"
"44",45,51,0.63514544161644,0.0842169757128913,0.524958343691711,0.533521562086549,0.804031579731201,0.616715378990251,0.804031579731201,0.804031579731201,0.849905373247276,"12/04/2020"
"45",46,52,0.659212988440339,0.0812115795114677,0.547899393004417,0.556118953591317,0.819111230884149,0.643107765518332,0.819111230884149,0.819111230884149,0.852054282574014,"13/04/2020"
"46",47,53,0.636700270506285,0.0713550493291286,0.534450911495334,0.54228330947916,0.773308182212542,0.624210451480985,0.773308182212542,0.773308182212542,0.799206259150282,"14/04/2020"
"47",48,54,0.626496866273156,0.0657532469489851,0.530929359258842,0.539044824606789,0.751020766335891,0.615429254885656,0.751020766335891,0.751020766335891,0.778382379435269,"15/04/2020"
"48",49,55,0.591521943125435,0.059917662235279,0.504220964044059,0.51240703986633,0.704108627073945,0.581272012263186,0.704108627073945,0.704108627073945,0.735519348426602,"16/04/2020"
"49",50,56,0.543642298376986,0.056665683422888,0.463721802466713,0.471534738990037,0.651985628177391,0.533295966536311,0.651985628177391,0.651985628177391,0.689289501368892,"17/04/2020"
"50",51,57,0.508383920502691,0.0584611688108279,0.431640341740332,0.439102646546767,0.623503109325124,0.495789781718097,0.623503109325124,0.623503109325124,0.667002289650573,"18/04/2020"
"51",52,58,0.450850440519987,0.058707799877746,0.3782274408517,0.38497294483713,0.568690530064267,0.436366808493999,0.568690530064267,0.568690530064267,0.613243789292427,"19/04/2020"
"52",53,59,0.445351325291681,0.0673566330338747,0.366798329730589,0.373411684092374,0.580439694477263,0.427678116336329,0.580439694477263,0.580439694477263,0.634624203663687,"20/04/2020"
"53",54,60,0.469829518174729,0.0781530870396367,0.378774265055555,0.38582639473393,0.628965740603432,0.4489172561517,0.628965740603432,0.628965740603432,0.687505221111964,"21/04/2020"
"54",55,61,0.421700747774641,0.0727739486518606,0.332641828386762,0.339600357434184,0.57106480546623,0.402997252385912,0.57106480546623,0.57106480546623,0.615048300899366,"22/04/2020"
"55",56,62,0.436396955340329,0.079879861849907,0.338367526310593,0.34589874734009,0.596642567267127,0.416402194320719,0.596642567267127,0.596642567267127,0.647193226649793,"23/04/2020"
"56",57,63,0.475166309573095,0.088161013209608,0.364884118729922,0.373401630559103,0.652761461045327,0.453427370102368,0.652761461045327,0.652761461045327,0.703881941241083,"24/04/2020"
"57",58,64,0.462046601846719,0.0832539095705684,0.353126787674823,0.361844391029437,0.628662817663593,0.442783866831032,0.628662817663593,0.628662817663593,0.669599393644264,"25/04/2020"
"58",59,65,0.526819641742261,0.0928649063580348,0.40314677820926,0.413479701413517,0.710081460175113,0.506335089879331,0.710081460175113,0.710081460175113,0.756023011285413,"26/04/2020"
"59",60,66,0.597401639955094,0.0981963738756307,0.460305869220618,0.47238197291315,0.789503624708748,0.577260039289602,0.789503624708748,0.789503624708748,0.831051870569291,"27/04/2020"
"60",61,67,0.653523192250976,0.0966778366089427,0.509815103952647,0.523529954020577,0.83641452836316,0.636688746546096,0.83641452836316,0.83641452836316,0.87250951528835,"28/04/2020"
"61",62,68,0.728786972723573,0.0947209417668708,0.579123017940552,0.594619035159141,0.902037618103971,0.715961312071247,0.902037618103971,0.902037618103971,0.934964557055084,"29/04/2020"
"62",63,69,0.722075122653891,0.0810740633367938,0.585179537332015,0.601181309632798,0.865309975313057,0.714921778964885,0.865309975313057,0.865309975313057,0.892357674236699,"30/04/2020"
"63",64,70,0.771339665277406,0.0755180780981491,0.637948876181704,0.654891520023322,0.902281665248053,0.766846158345938,0.902281665248053,0.902281665248053,0.926589299145388,"01/05/2020"
"64",65,71,0.725210970266438,0.0630479926619039,0.609388688575234,0.625210588504527,0.832118921262337,0.723163891695296,0.832118921262337,0.832118921262337,0.851878872955666,"02/05/2020"
"65",66,72,0.656711853054768,0.0545890003884215,0.556823035795613,0.570782226220029,0.7495665809637,0.654663604407137,0.7495665809637,0.7495665809637,0.769014942593232,"03/05/2020"
"66",67,73,0.715841967143443,0.0607703607823684,0.612178698926154,0.626489811141954,0.822740254587903,0.710857498068104,0.822740254587903,0.822740254587903,0.853447110386322,"04/05/2020"
"67",68,74,0.673047059254862,0.0587211305439167,0.574905994781287,0.588194882794661,0.780990705057672,0.666788860108824,0.780990705057672,0.780990705057672,0.808586595009766,"05/05/2020"
"68",69,75,0.615389609013243,0.0585435211902706,0.52056770826799,0.532951641065291,0.724217631718844,0.608043444990945,0.724217631718844,0.724217631718844,0.752324291401572,"06/05/2020"
"69",70,76,0.68747767981284,0.0714602414940152,0.57795043054808,0.591411196041811,0.822350430179728,0.676524466048519,0.822350430179728,0.822350430179728,0.86084234881734,"07/05/2020"
"70",71,77,0.632919224585191,0.0678421993908335,0.524728584286775,0.538082043112517,0.760285462576615,0.623520582272615,0.760285462576615,0.760285462576615,0.790384308864811,"08/05/2020"
"71",72,78,0.749529987810077,0.0815337480754052,0.62185660984192,0.637206875280165,0.902708229555545,0.737770790860167,0.902708229555545,0.902708229555545,0.941239878655994,"09/05/2020"
"72",73,79,0.881629789716137,0.0883990475489619,0.736907743232523,0.754588616158213,1.0433625355679,0.871003758887415,1.0433625355679,1.0433625355679,1.07653357021136,"10/05/2020"
"73",74,80,0.752939214581424,0.0691855956981361,0.631039144239696,0.647222835687242,0.873562890003845,0.748415127354206,0.873562890003845,0.873562890003845,0.898332328199918,"11/05/2020"
"74",75,81,0.967449189099482,0.078983864169323,0.826994084127468,0.846286833332334,1.10501144808998,0.96267609625834,1.10501144808998,1.10501144808998,1.13389244763853,"12/05/2020"
"75",76,82,1.06483963301838,0.0753190195287568,0.926077708013914,0.946071422682753,1.19352783909986,1.06196261862446,1.19352783909986,1.19352783909986,1.21995778844076,"13/05/2020"
"76",77,83,1.0507759566766,0.0691780902589469,0.92140129257142,0.940743822073186,1.16815813468382,1.04861737866922,1.16815813468382,1.16815813468382,1.19235401424263,"14/05/2020"
"77",78,84,1.12561502279826,0.0707053225877979,0.993420675022231,1.0132316360186,1.24561191796279,1.12333790194111,1.24561191796279,1.24561191796279,1.27019145445789,"15/05/2020"
"78",79,85,1.1275325721443,0.0724382897775457,0.989759751263253,1.01124666244475,1.24947344259464,1.12593983122343,1.24947344259464,1.24947344259464,1.27400636235069,"16/05/2020"
"79",80,86,1.21606703645293,0.0771899784579309,1.06899292514879,1.09166195580942,1.34576144470906,1.21448726523046,1.34576144470906,1.34576144470906,1.3720977215433,"17/05/2020"
"80",81,87,1.20680157779632,0.0797512293281823,1.04950031925098,1.07583884319124,1.33835473954143,1.2065577909286,1.33835473954143,1.33835473954143,1.36416594017412,"18/05/2020"
"81",82,88,0.979803590251226,0.0701219134338405,0.841991076214195,0.864311856365464,1.09534410818279,0.979698214647261,1.09534410818279,1.09534410818279,1.11777762515726,"19/05/2020"
"82",83,89,1.0920088093457,0.068414016773148,0.963504609838969,0.982661316110189,1.20747511020939,1.09012053881356,1.20747511020939,1.20747511020939,1.23068984081666,"20/05/2020"
"83",84,90,0.960488304833191,0.0593526022303972,0.848380781512266,0.865403219607317,1.06058474730332,0.959072991269282,1.06058474730332,1.06058474730332,1.08091812783354,"21/05/2020"
"84",85,91,0.997361789551901,0.0575169771478483,0.887622153011666,0.904714948098001,1.09373972853567,0.996253538966705,1.09373972853567,1.09373972853567,1.11321232289957,"22/05/2020"
"85",86,92,0.887882631591903,0.0529155978149771,0.787143748399972,0.802617463266975,0.976689873037567,0.886876572087023,0.976689873037567,0.976689873037567,0.994488893258708,"23/05/2020"
"86",87,93,0.8106332806415,0.0516420039293213,0.712975550817339,0.728005376042756,0.897804448079627,0.809324023204759,0.897804448079627,0.897804448079627,0.915666955836101,"24/05/2020"
"87",88,94,0.875081620490026,0.0589261894647452,0.768028464140217,0.783929593846867,0.976217379762295,0.872113482851311,0.976217379762295,0.976217379762295,1.00035061367551,"25/05/2020"
"88",89,95,0.873939808767218,0.0605027737951285,0.763587309088377,0.779933115574016,0.97850926046526,0.871003066336571,0.97850926046526,0.97850926046526,1.00142350374451,"26/05/2020"
"89",90,96,0.764649736232916,0.0566047034611797,0.660487686385149,0.675652194099476,0.861750206568148,0.762275255445807,0.861750206568148,0.861750206568148,0.8822789325823,"27/05/2020"
"90",91,97,0.785814527049037,0.0620440122140084,0.675629800081525,0.691464369087674,0.893869142265537,0.781772227653121,0.893869142265537,0.893869142265537,0.920017043844133,"28/05/2020"
"91",92,98,0.712966723518637,0.0607838988030993,0.60591841268826,0.621022280669812,0.81999909838666,0.708688502594483,0.81999909838666,0.81999909838666,0.845368917048052,"29/05/2020"
"92",93,99,0.816415718578052,0.0725916427085288,0.694324252916607,0.710971968647714,0.947086091217368,0.80939352102336,0.947086091217368,0.947086091217368,0.982576185323984,"30/05/2020"
"93",94,100,0.839605219647908,0.0732859991137714,0.711977740748565,0.729665001415347,0.970716890468074,0.833563848716579,0.970716890468074,0.970716890468074,0.999770531769841,"31/05/2020"
"94",95,101,0.765267127958679,0.0671067507872324,0.645018150444416,0.661934591380588,0.88223981604549,0.761303514582354,0.88223981604549,0.88223981604549,0.906916582841993,"01/06/2020"
"95",96,102,0.799018189546301,0.0704393171905247,0.673812452887327,0.691630305578919,0.922168106844804,0.794504833234236,0.922168106844804,0.922168106844804,0.949970264801066,"02/06/2020"
"96",97,103,0.720241690606931,0.0654191741615543,0.602998702598233,0.619634029328702,0.834328589697635,0.716312151687784,0.834328589697635,0.834328589697635,0.859420105015585,"03/06/2020"
