,stateFIPS,countyFIPS,Life expectancy Under 1,Life expectancy 1-4,Life expectancy 5-14,Life expectancy 15-24,Life expectancy 25-34,Life expectancy 35-44,Life expectancy 45-54,Life expectancy 55-64,Life expectancy 65-74,Life expectancy 75-84,Life expectancy 85 and older
0,21,21,76.5142857142857,76.61428571428573,72.72857142857143,62.91428571428572,53.39999999999999,44.22857142857142,35.18571428571429,26.88571428571429,19.057142857142857,12.614285714285714,7.928571428571429
0,21,23,74.23333333333333,73.96666666666667,70.06666666666666,60.5,51.5,42.4,33.5,25.399999999999995,17.966666666666665,11.333333333333334,6.666666666666667
0,21,25,70.15714285714286,70.15714285714286,66.52857142857144,57.07142857142858,47.82857142857143,39.314285714285724,30.91428571428571,23.685714285714283,16.82857142857143,11.614285714285714,8.4
0,21,27,74.86666666666666,74.48333333333333,70.60000000000001,61.06666666666666,51.76666666666667,42.88333333333333,34.016666666666666,25.750000000000004,18.15,12.350000000000001,7.633333333333333
0,21,29,77.0642857142857,76.62142857142855,72.72857142857144,62.83571428571429,53.37142857142857,44.300000000000004,35.39285714285713,26.82857142857143,19.114285714285717,12.950000000000001,8.421428571428573
0,21,31,75.35999999999999,75.0,71.14,61.459999999999994,52.1,43.08,34.06,25.660000000000004,18.12,11.42,5.6
0,21,33,76.46666666666667,75.86666666666666,72.03333333333333,62.20000000000001,52.86666666666667,44.03333333333333,35.1,26.566666666666666,18.7,12.800000000000002,7.166666666666667
0,21,35,75.85,75.4,71.55,61.725,52.25,42.7875,33.675000000000004,25.25,17.7875,11.3125,6.8999999999999995
0,21,37,76.29166666666667,75.8875,71.97916666666667,62.083333333333336,52.525,43.333333333333336,34.487500000000004,26.09583333333333,18.32916666666667,11.783333333333333,7.029166666666668
0,21,39,77.13333333333334,76.60000000000001,72.73333333333333,63.06666666666666,53.9,45.166666666666664,35.86666666666667,27.666666666666668,20.166666666666664,13.733333333333334,9.0
0,21,41,73.83333333333333,73.26666666666667,69.63333333333333,59.73333333333333,50.4,41.0,32.333333333333336,24.2,17.099999999999998,10.700000000000001,6.033333333333332
0,21,43,75.28571428571429,74.8142857142857,71.00000000000001,61.17142857142857,51.7,42.82857142857143,33.971428571428575,25.514285714285716,18.17142857142857,11.842857142857143,7.6571428571428575
0,21,45,75.16,75.28,71.46,61.67999999999999,52.28000000000001,43.019999999999996,33.879999999999995,25.8,18.259999999999998,12.02,7.3
0,21,47,75.24285714285715,74.85714285714286,70.98571428571428,61.185714285714276,51.707142857142856,42.48571428571428,33.52857142857142,25.41428571428571,18.12142857142857,11.778571428571428,6.8428571428571425
0,21,49,74.73000000000002,74.19,70.31,60.42,51.120000000000005,42.050000000000004,33.019999999999996,24.9,17.4,10.75,5.88
0,21,51,72.375,71.9,68.025,58.325,49.2,40.575,31.8,23.775000000000002,16.925,11.075,6.725
0,21,53,73.66666666666667,73.16666666666667,69.26666666666667,59.43333333333334,50.5,41.36666666666667,32.63333333333333,24.53333333333333,17.400000000000002,10.666666666666666,5.266666666666667
0,21,55,75.47500000000001,75.075,71.175,61.3,51.825,43.1,34.324999999999996,25.749999999999996,18.049999999999997,11.600000000000001,7.15
0,21,57,74.1,73.45,69.69999999999999,59.849999999999994,50.849999999999994,42.15,33.6,24.950000000000003,17.450000000000003,11.6,7.050000000000001
0,21,59,76.60000000000001,76.25000000000001,72.36363636363637,62.54090909090908,53.06818181818182,43.695454545454545,34.63636363636363,26.1,18.404545454545453,11.9,6.4818181818181815
0,21,61,75.3,75.06666666666668,71.16666666666667,61.26666666666667,51.79999999999999,42.63333333333333,33.4,24.866666666666664,17.53333333333333,10.033333333333333,4.633333333333334
0,21,63,76.1,76.19999999999999,72.35,62.449999999999996,53.05,43.9,34.8,26.450000000000003,19.1,12.350000000000001,8.0
0,21,65,71.35,71.225,67.375,57.650000000000006,48.175,39.725,31.224999999999998,23.575000000000003,16.7,9.975,4.975
0,21,67,77.59166666666667,77.28611111111111,73.40277777777777,63.526388888888896,54.00833333333333,44.599999999999994,35.34444444444445,26.804166666666667,19.01111111111111,11.915277777777778,6.5249999999999995
0,21,69,74.025,73.675,69.8,59.9,50.475,40.949999999999996,32.225,24.400000000000002,17.15,10.5,6.475
0,21,71,73.03,72.66,68.81,58.99000000000001,49.620000000000005,40.74,32.36,24.580000000000002,17.4,11.260000000000002,7.090000000000001
0,21,73,75.84545454545456,75.69090909090909,71.8,61.92727272727272,52.51818181818182,43.08181818181818,34.07272727272727,25.745454545454546,18.027272727272727,11.590909090909092,7.663636363636363
0,21,75,73.85,73.44999999999999,69.69999999999999,59.8,50.65,41.150000000000006,31.95,23.65,16.95,10.55,5.5
0,21,77,73.0,72.35,68.55000000000001,58.75,49.25,40.75,32.2,23.35,16.5,9.2,5.4
0,21,79,76.625,76.225,72.35,62.45,52.699999999999996,43.62499999999999,34.7,26.25,18.925,12.5,7.15
0,21,81,74.55000000000001,73.95,70.1,60.275,50.925000000000004,41.974999999999994,33.2,24.875,17.475,10.774999999999999,5.475
0,21,83,76.6,76.22222222222223,72.37777777777778,62.5,53.0,43.75555555555556,34.55555555555556,26.37777777777778,18.54444444444444,11.933333333333334,6.866666666666666
0,21,85,73.9,73.52857142857144,69.68571428571428,59.800000000000004,50.371428571428574,41.199999999999996,32.47142857142857,24.757142857142856,17.2,10.885714285714286,6.67142857142857
0,21,87,75.19999999999999,74.725,70.89999999999999,61.075,52.099999999999994,43.175,34.075,25.675,18.049999999999997,10.9,5.824999999999999
0,21,89,75.9,75.65714285714286,71.8,61.98571428571428,52.52857142857142,43.15714285714286,34.128571428571426,25.88571428571429,18.271428571428576,11.885714285714286,7.328571428571428
0,21,91,77.60000000000001,77.5,73.60000000000001,63.73333333333333,54.23333333333333,44.96666666666667,35.833333333333336,27.433333333333337,19.833333333333332,12.366666666666665,7.433333333333334
0,21,93,76.4421052631579,76.13157894736842,72.26315789473685,62.39473684210526,52.84736842105263,43.38421052631578,34.07368421052632,25.710526315789473,18.168421052631583,11.784210526315789,6.963157894736843
0,21,95,73.10909090909091,72.88181818181818,69.08181818181819,59.18181818181818,49.74545454545455,40.74545454545455,31.927272727272726,24.063636363636363,17.05454545454546,10.79090909090909,5.763636363636364
0,21,97,74.95,74.575,71.025,61.225,51.974999999999994,43.05,34.325,25.799999999999997,17.825,11.075,6.1
