,Country,Deaths per million,drop_start_deaths,drop_end_deaths,drop_start_cases,drop_end_cases,Cases per million,drop_duration,retail,grocery and pharmacy,transit,work,residential
10,Chile,"[0.3737487426024445, 0.4195138947578459, 0.4576515215540137, 0.5186717244278821, 0.4576515215540137]",0.0,0.038137626796167806,1.4034646660989754,8.969969822458669,"[21.364698531213207, 22.234236422165832, 26.948047094172175, 58.358196523495984, 74.02513361136171]",10,-64.71428571428571,-37.285714285714285,-56.857142857142854,-41.857142857142854,25.0
11,Colombia,"[0.22155672400991083, 0.19853784359329674, 0.21004728380160378, 0.31363224567636727, 0.33089640598882786]",0.0,0.017264160312460582,0.18415104333291288,1.0962741798412472,"[3.44995470244004, 3.366511260929814, 5.179248093738176, 7.665287178732499, 10.52826043054888]",10,-81.71428571428571,-58.57142857142857,-77.71428571428571,-69.57142857142857,32.57142857142857
12,Czechia,"[0.9142259131553948, 0.7663364272037869, 0.591557943806432, 0.30922347062608946, 0.4571129565776974]",0.0,0.013444498722873455,1.3982278671788393,11.656380392731286,"[23.00353731483648, 11.616046896562665, 10.15059653576946, 6.641582369099487, 4.692130054282836]",10,-68.85714285714286,-21.0,-58.42857142857143,-37.42857142857143,17.285714285714285
13,Denmark,"[2.7105531839857955, 2.414856473005527, 1.9466700139534352, 1.5524077326464103, 1.5524077326464103]",0.0,0.2956967109802686,2.6612703988224173,12.813524142478308,"[51.84548999187376, 40.337959656224974, 29.495746920281793, 29.15076742413815, 23.95143358940176]",13,-37.0,-18.142857142857142,-57.57142857142857,-46.0,16.428571428571427
14,Dominican_Republic,"[1.1426243163493879, 0.8334436189842594, 0.5511481996508812, 0.9140994530795102, 0.6452466727620073]",0.0,0.24196750228575276,0.13442639015875152,7.353123541683708,"[17.878709891113953, 23.632159389908516, 18.44330072978071, 27.74560692876631, 32.53118641841787]",10,-74.28571428571429,-51.714285714285715,-79.57142857142857,-67.28571428571429,29.428571428571427
15,Ecuador,"[1.2793658466129487, 1.1790234272707567, 0.8529105644086324, 8.261525859173812, 4.70773184080451]",0.016723736557032007,0.21740857524141613,0.2257704435199321,8.721428614492194,"[31.942336823931136, 16.74046029358904, 110.80311655861557, 57.019579791200634, 0.1755992338488361]",10,-83.42857142857143,-63.0,-82.28571428571429,-76.0,35.42857142857143
16,Egypt,"[0.06386389651500014, 0.13498505399761393, 0.12482488864295482, 0.1378879583846594, 0.13498505399761393]",0.0014514521935227304,0.03773775703159099,0.08418422722431837,0.40930951857340997,"[0.9666671608861385, 1.492092854941367, 1.6546555006159127, 2.2526538043472777, 3.1336852858155755]",20,-58.142857142857146,-32.57142857142857,-59.714285714285715,-40.142857142857146,16.857142857142858
17,Finland,"[0.7248937577586285, 0.8802281344211917, 2.4594609638239184, 1.0614515738608488, 1.0873406366379428]",0.0,0.025889062777093876,4.556475048768522,11.08051886859618,"[29.875978444766336, 18.64012519950759, 23.45549087604705, 16.98322518177358, 17.785786127863492]",10,-39.0,-11.428571428571429,-49.714285714285715,-35.142857142857146,12.714285714285714
18,France,"[13.37568089829162, 11.710118592557285, 7.018393787671831, 4.576564286947356, 3.3055333852602056]",0.17274077690714623,1.9726570202359293,8.067634062218941,31.076279025814014,"[53.709586005018245, 38.45294998040437, 26.21607864838949, 14.640313993426654, 16.794242199305884]",10,-83.71428571428571,-47.42857142857143,-80.57142857142857,-67.0,29.285714285714285
19,Germany,"[2.346271604049461, 2.8062235264292013, 2.2653062843796192, 1.581407733125848, 1.2093117959197663]",0.01894933013549491,0.3617599389503574,8.394553250024245,48.49305848310743,"[44.57054714505999, 31.626431996141008, 22.187942922288588, 12.959619146302567, 11.452286067342742]",10,-60.42857142857143,-18.428571428571427,-56.285714285714285,-38.857142857142854,15.571428571428571
